,Title,Budget,Worldwide,Domestic,Release
0,Indiana Jones and the Kingdom of the Crystal Skull," $185,000,000"," $786,635,413"," $317,101,119","May 22, 2008"
1,Brave," $185,000,000"," $554,606,532"," $237,282,182","Jun 21, 2012"
2,Kong: Skull Island," $185,000,000"," $561,072,059"," $168,052,812","Feb 23, 2017"
3,Star Trek Beyond," $185,000,000"," $335,673,708"," $158,848,340","Jul 21, 2016"
4,Maleficent: Mistress of Evil," $185,000,000"," $489,181,357"," $113,929,605","Oct 17, 2019"
5,Blade Runner 2049," $185,000,000"," $258,829,058"," $92,054,159","Sep 29, 2017"
6,Terminator: Dark Fate," $185,000,000"," $250,367,666"," $62,253,077","Oct 25, 2019"
7,The Suicide Squad," $185,000,000"," $167,097,737"," $55,817,425","Jul 28, 2021"
8,Aladdin," $182,000,000"," $1,046,587,513"," $355,559,216","May 22, 2019"
9,Thor: Ragnarok," $180,000,000"," $850,482,778"," $315,058,289","Oct 25, 2017"
10,"The Chronicles of Narnia: The Lion, the Witch a…"," $180,000,000"," $720,539,572"," $291,710,957","Dec 9, 2005"
11,Maleficent," $180,000,000"," $758,536,735"," $241,407,328","May 28, 2014"
12,Fantastic Beasts and Where to Find Them," $180,000,000"," $811,724,385"," $234,037,575","Nov 14, 2016"
13,WALL-E," $180,000,000"," $532,508,025"," $223,808,164","Jun 27, 2008"
14,Rush Hour 3," $180,000,000"," $256,585,882"," $140,125,968","Aug 10, 2007"
15,The Legend of Tarzan," $180,000,000"," $348,902,025"," $126,643,061","Jun 27, 2016"
16,Hugo," $180,000,000"," $180,047,784"," $73,864,507","Nov 23, 2011"
17,Valerian and the City of a Thousand Planets," $180,000,000"," $215,098,356"," $40,479,370","Jul 20, 2017"
18,Jupiter Ascending," $179,000,000"," $181,982,519"," $47,482,519","Feb 6, 2015"
19,Mission: Impossible—Fallout," $178,000,000"," $787,176,729"," $220,159,104","Jul 16, 2018"
20,X-Men: Apocalypse," $178,000,000"," $542,537,546"," $155,442,489","May 18, 2016"
21,The Meg," $178,000,000"," $527,267,828"," $145,443,742","Aug 9, 2018"
22,Edge of Tomorrow," $178,000,000"," $367,028,980"," $100,206,256","May 28, 2014"
23,Captain Marvel," $175,000,000"," $1,129,576,094"," $426,829,839","Mar 6, 2019"
24,The Jungle Book," $175,000,000"," $953,535,821"," $364,001,123","Apr 7, 2016"
25,Inside Out," $175,000,000"," $853,037,219"," $356,461,711","Jun 12, 2015"
26,Spider-Man: Homecoming," $175,000,000"," $878,271,291"," $334,201,140","Jul 5, 2017"
27,Suicide Squad," $175,000,000"," $745,744,980"," $325,100,054","Aug 2, 2016"
28,Up," $175,000,000"," $731,463,377"," $293,004,164","May 28, 2009"
29,Coco," $175,000,000"," $797,660,271"," $210,460,015","Oct 27, 2017"
30,Ralph Breaks The Internet," $175,000,000"," $529,290,830"," $201,091,711","Nov 21, 2018"
31,Monsters vs. Aliens," $175,000,000"," $381,687,380"," $198,351,526","Mar 27, 2009"
32,Cars 3," $175,000,000"," $383,541,369"," $152,901,115","Jun 16, 2017"
33,G.I. Joe: The Rise of Cobra," $175,000,000"," $302,469,017"," $150,201,498","Aug 7, 2009"
34,Wild Wild West," $175,000,000"," $221,229,335"," $113,805,681","Jun 30, 1999"
35,The Mummy: Tomb of the Dragon Emperor," $175,000,000"," $405,760,225"," $102,491,776","Aug 1, 2008"
36,Evan Almighty," $175,000,000"," $174,131,329"," $100,289,690","Jun 22, 2007"
37,Waterworld," $175,000,000"," $264,246,220"," $88,246,220","Jul 28, 1995"
38,Dolittle," $175,000,000"," $251,509,052"," $77,047,065","Jan 8, 2020"
39,King Arthur: Legend of the Sword," $175,000,000"," $139,630,336"," $39,175,066","May 11, 2017"
40,47 Ronin," $175,000,000"," $151,716,815"," $38,362,475","Dec 6, 2013"
41,Turning Red," $175,000,000"," $10,964,971", $0,"Mar 10, 2022"
42,Top Gun: Maverick," $170,000,000"," $1,488,732,821"," $718,732,821","May 20, 2022"
43,Jurassic World: Fallen Kingdom," $170,000,000"," $1,308,323,302"," $417,719,760","Jun 6, 2018"
44,Guardians of the Galaxy," $170,000,000"," $770,882,395"," $333,714,112","Jul 31, 2014"
45,Iron Man 2," $170,000,000"," $621,156,389"," $312,433,331","May 7, 2010"
46,Captain America: The Winter Soldier," $170,000,000"," $714,401,889"," $259,746,958","Mar 28, 2014"
47,Dawn of the Planet of the Apes," $170,000,000"," $710,644,566"," $208,545,589","Jul 9, 2014"
48,The Polar Express," $170,000,000"," $312,719,437"," $188,578,855","Nov 10, 2004"
49,Snow White and the Huntsman," $170,000,000"," $401,021,746"," $155,136,755","May 30, 2012"
50,Terminator 3: Rise of the Machines," $170,000,000"," $433,058,296"," $150,358,296","Jul 1, 2003"
51,Van Helsing," $170,000,000"," $300,150,546"," $120,150,546","May 5, 2004"
52,Dumbo," $170,000,000"," $353,166,307"," $114,766,307","Mar 27, 2019"
53,Godzilla: King of the Monsters," $170,000,000"," $383,299,914"," $110,500,138","May 29, 2019"
54,Tomorrowland," $170,000,000"," $206,627,518"," $93,436,322","May 20, 2015"
55,Alita: Battle Angel," $170,000,000"," $401,900,040"," $85,838,210","Feb 1, 2019"
56,Alice Through the Looking Glass," $170,000,000"," $276,928,112"," $77,042,381","May 20, 2016"
57,Jurassic World: Dominion," $165,000,000"," $1,003,043,279"," $376,009,080","Jun 1, 2022"
58,Shrek Forever After," $165,000,000"," $756,244,673"," $238,736,787","May 21, 2010"
59,Doctor Strange," $165,000,000"," $676,343,174"," $232,641,920","Oct 24, 2016"
60,Big Hero 6," $165,000,000"," $648,415,024"," $222,527,828","Oct 25, 2014"
61,How to Train Your Dragon," $165,000,000"," $494,870,992"," $217,581,232","Mar 26, 2010"
62,Wreck-It Ralph," $165,000,000"," $496,511,521"," $189,412,677","Nov 1, 2012"
63,Interstellar," $165,000,000"," $648,909,648"," $188,017,894","Nov 5, 2014"
64,Dune," $165,000,000"," $392,073,640"," $108,327,830","Sep 15, 2021"
65,Independence Day: Resurgence," $165,000,000"," $384,169,424"," $103,144,286","Jun 22, 2016"
66,Cowboys and Aliens," $163,000,000"," $176,038,324"," $100,368,560","Jul 29, 2011"
67,Beauty and the Beast," $160,000,000"," $1,268,697,483"," $504,014,165","Mar 16, 2017"
68,Spider-Man: Far From Home," $160,000,000"," $1,132,107,522"," $390,532,085","Jun 27, 2019"
69,Aquaman," $160,000,000"," $1,143,758,700"," $335,061,807","Dec 6, 2018"
70,Shrek the Third," $160,000,000"," $807,330,936"," $322,719,944","May 17, 2007"
71,Inception," $160,000,000"," $728,537,960"," $292,576,195","Jul 16, 2010"
72,The Hunger Games: Mockingjay - Part 2," $160,000,000"," $647,396,133"," $281,723,902","Nov 18, 2015"
73,Fast and Furious 6," $160,000,000"," $789,300,444"," $238,679,850","May 17, 2013"
74,Godzilla," $160,000,000"," $529,076,069"," $200,676,069","May 14, 2014"
75,X-Men: First Class," $160,000,000"," $355,408,305"," $146,408,305","Jun 3, 2011"
76,The Curious Case of Benjamin Button," $160,000,000"," $329,631,958"," $127,509,326","Dec 25, 2008"
77,The Sorcerer's Apprentice," $160,000,000"," $217,986,320"," $63,150,991","Jul 14, 2010"
78,Poseidon," $160,000,000"," $181,674,817"," $60,674,817","May 12, 2006"
79,Warcraft," $160,000,000"," $438,899,824"," $47,365,290","May 25, 2016"
80,The Irishman," $159,000,000"," $914,706", $0,"Nov 1, 2019"
81,Deepwater Horizon," $156,000,000"," $122,359,309"," $61,433,527","Sep 29, 2016"
82,The Chronicles of Narnia: The Voyage of the Daw…," $155,000,000"," $418,186,950"," $104,386,950","Dec 10, 2010"
83,Godzilla vs. Kong," $155,000,000"," $468,043,852"," $100,916,094","Mar 25, 2021"
84,Terminator: Genisys," $155,000,000"," $432,150,894"," $89,760,956","Jun 24, 2015"
85,Pacific Rim: Uprising," $155,000,000"," $290,930,148"," $59,874,525","Mar 16, 2018"
86,Alexander," $155,000,000"," $167,297,191"," $34,297,191","Nov 24, 2004"
87,War for the Planet of the Apes," $152,000,000"," $489,592,267"," $146,880,162","Jul 14, 2017"
88,Pearl Harbor," $151,500,000"," $449,239,853"," $198,539,855","May 25, 2001"
89,Transformers," $151,000,000"," $708,272,592"," $319,246,193","Jul 2, 2007"
90,Frozen II," $150,000,000"," $1,444,735,491"," $477,373,578","Nov 20, 2019"
91,Wonder Woman," $150,000,000"," $817,691,766"," $412,563,408","May 29, 2017"
92,Frozen," $150,000,000"," $1,261,629,241"," $400,953,009","Nov 22, 2013"
93,Zootopia," $150,000,000"," $1,004,629,935"," $341,268,248","Feb 10, 2016"
94,Harry Potter and the Order of the Phoenix," $150,000,000"," $939,619,849"," $292,137,260","Jul 11, 2007"
95,Harry Potter and the Goblet of Fire," $150,000,000"," $886,742,787"," $290,201,752","Nov 18, 2005"
96,The Matrix Reloaded," $150,000,000"," $738,576,929"," $281,553,689","May 15, 2003"
97,I am Legend," $150,000,000"," $585,532,684"," $256,393,010","Dec 14, 2007"
98,Moana," $150,000,000"," $631,499,621"," $248,757,044","Jan 27, 2016"
99,Hancock," $150,000,000"," $624,234,272"," $227,946,274","Jul 1, 2008"
100,Shang-Chi and the Legend of the Ten Rings," $150,000,000"," $432,224,634"," $224,543,292","Sep 1, 2021"
101,Charlie and the Chocolate Factory," $150,000,000"," $475,825,484"," $206,459,076","Jul 15, 2005"
102,Ratatouille," $150,000,000"," $626,549,695"," $206,445,654","Jun 29, 2007"
103,Thor: The Dark World," $150,000,000"," $644,602,516"," $206,362,140","Oct 30, 2013"
104,Batman Begins," $150,000,000"," $358,858,124"," $205,343,774","Jun 15, 2005"
105,Mission: Impossible—Rogue Nation," $150,000,000"," $688,858,992"," $195,042,377","Jul 29, 2015"
106,Dunkirk," $150,000,000"," $518,058,826"," $190,068,280","Jul 18, 2017"
