   ,Title,Budget,Worldwide,Domestic,Release,Duration,MPAA Rating,IMDB Rating,Voter Numbers,Metascore,Genre,Language,Opening Weekend
0,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000","$786,635,413","$317,101,119","May 22, 2008",2h 2m,PG-13,6.2,457K,65.0,Action,,"$100,137,835 (31.6% of total gross)"
1,Brave,"$185,000,000","$554,606,532","$237,282,182","Jun 21, 2012",1h 33m,PG,7.1,414K,69.0,Animation,,"$66,323,594 (28.0% of total gross)"
2,Kong: Skull Island,"$185,000,000","$561,072,059","$168,052,812","Feb 23, 2017",1h 58m,PG-13,6.6,321K,62.0,Action,English,"$61,025,472 (36.3% of total gross)"
3,Star Trek Beyond,"$185,000,000","$335,673,708","$158,848,340","Jul 21, 2016",2h 2m,PG-13,7.0,248K,68.0,Action,English,"$59,253,211 (37.3% of total gross)"
4,Maleficent: Mistress of Evil,"$185,000,000","$489,181,357","$113,929,605","Oct 17, 2019",1h 59m,PG,6.6,107K,43.0,Adventure,,
5,Blade Runner 2049,"$185,000,000","$258,829,058","$92,054,159","Sep 29, 2017",2h 44m,R,8.0,574K,81.0,Action,English,"$32,753,122 (35.6% of total gross)"
6,Terminator: Dark Fate,"$185,000,000","$250,367,666","$62,253,077","Oct 25, 2019",2h 8m,R,6.2,179K,54.0,Action,,
7,The Suicide Squad,"$185,000,000","$167,097,737","$55,817,425","Jul 28, 2021",2h 12m,R,7.2,352K,72.0,Action,English,"$26,205,415 (46.9% of total gross)"
8,Aladdin,"$182,000,000","$1,046,587,513","$355,559,216","May 22, 2019",2h 8m,PG,6.9,267K,53.0,Adventure,,
9,Thor: Ragnarok,"$180,000,000","$850,482,778","$315,058,289","Oct 25, 2017",2h 10m,PG-13,7.9,752K,74.0,Action,English,"$122,744,989 (39.0% of total gross)"
10,"The Chronicles of Narnia: The Lion, the Witch a…","$180,000,000","$720,539,572","$291,710,957","Dec 9, 2005",2h 23m,PG,6.9,401K,75.0,Adventure,,
